id,nameKR,ribbon,bookYear,phone,priceRangeMin,priceRangeMax,businessHours,menu,dayOff,OpenDate,roadAddr,jibunAddr,detailAddress,siNm,sggNm,emdNm,zone2_1,zone2_2,lat,lng,review,foodTypes,ribbon_num
30139,화이트크리스마스,RIBBON_THREE,2025,0507-1497-1317,125000.0,350000.0,,,,2015년 10월 01일,충청북도 청주시 흥덕구 비하로42번길 2 (비하동),충청북도 청주시 흥덕구 비하동 754,2층,충청북도,청주시 흥덕구,비하동,충북,청주시,36.63083110629392,127.4248595383393,"충북을 대표하는 파인 다이닝 프렌치 레스토랑. 2000년 충주에서 시작하여 2015년에 청주로 옮겨 문을 열었다. 정통 프렌치 요리를 코스로 즐길 수 있는 곳으로, 맛과 분위기에 대한 평이 모두 좋다. 고풍스러운 인테리어와 소품에서 오너의 애정이 느껴진다. 10세 이하의 어린이는 출입할 수 없으며, 드레스코드는 포멀 슈트, 비즈니스 캐주얼, 스마트 캐주얼이다.",프랑스식,3
34659,팔레트,RIBBON_THREE,2025,051-626-2364  ,88000.0,200000.0,12:00~15:00/18:00~22:00(마지막 주문 19:30) ,"런치코스(8만8천원), 디너코스(20만원)","월, 화요일 휴무",,부산광역시 해운대구 달맞이길65번길 154  (중동),부산광역시 해운대구 중동 1502-12 메르씨엘,메르씨엘 3층,부산광역시,해운대구,중동,부산,해운대구(해운대/달맞이길/송정),35.1565249148798,129.178359990487,"프렌치 쿠킹 테크닉과 다양한 재료의 조합을 바탕으로 창의적인 요리를 하는 김재훈 셰프의 다이닝 레스토랑. 아뮈즈에서 시작해서 애피타이저, 메인 요리까지 고급 식재료를 사용한 아름답고 섬세한 플레이팅의 요리를 즐길 수 있다. 푸른 바다가 시원하게 펼쳐지는 달맞이고개의 전망도 좋다.",컨템포러리,3
909,팔선,RIBBON_THREE,2026,02-2230-3366 ,35000.0,500000.0,12:00~14:30/17:30~21:30 ,"저녁코스(문희연 20만원, 관부연 28만원, 궁정연 33만원, 황제연 50만원), 점심코스(15만원~25만원), 삼선짬뽕(3만5천원), 불도장(1인 20만원), 고추닭고기(7만원)",연중무휴,1979년 ,서울특별시 중구 동호로 249 (장충동2가),서울특별시 중구 장충동2가 202,서울신라호텔 2층,서울특별시,중구,장충동2가,서울 강북,장충동/약수동/신당동/황학동,37.5563,127.0063,"많은 사람들이 서울 최고의 중식당으로 꼽는 데 주저하지 않는 곳. 광동식을 비롯하여 사천, 북경요리 등 수백 가지가 넘는 정통 중국요리를 해낼 수 있는 곳이다. 명성 만큼이나 맛, 분위기, 서비스 모두 좋다. 단골 손님이 되면 요리를 개개인의 취향에 맞춰 주기도 한다.","중식, 일반중식",3
31431,세븐스도어,RIBBON_THREE,2026,010-9660-3012,180000.0,320000.0,,,,2020년 ,서울특별시 강남구 학동로97길 41 (청담동),서울특별시 강남구 청담동 69-5 리유빌딩,리유빌딩 4층,서울특별시,강남구,청담동,서울 강남,청담동/강남구청역,37.5224089749768,127.054313613882,"김대천 셰프의 발효와 숙성을 테마로 한 레스토랑. 다양한 식자재를 발효 및 숙성하여 사용하며 심도있게 코스 요리로 풀어낸다. 단맛, 쓴맛, 매운맛, 단맛, 감칠맛의 다섯 가지 맛에 6번째인 발효와 숙성, 그리고 7번째에 해당하는 셰프의 손맛을 모두 맛볼 수 있는 곳이다.",컨템포러리,3
32353,강민철레스토랑,RIBBON_THREE,2026,02-545-2511,220000.0,360000.0,12:00~14:30/18:00~22:00 ,,"일, 월요일 휴무",2021년 10월 01일,서울특별시 강남구 도산대로63길 18  (청담동),서울특별시 강남구 청담동 93-8 청담빌딩,청담빌딩 5층,서울특별시,강남구,청담동,서울 강남,청담동/강남구청역,37.5249661057086,127.043681842144,"파리의 조엘 로부숑, 알랭 뒤카스, 피에르 가니에르 등 거장들의 레스토랑에서 경력을 쌓은 강민철 셰프의 파인 다이닝 레스토랑. 클래식 프렌치를 재현한 코스 요리가 펼쳐지며, 메인 디시를 중심으로 서브 디시가 함께 등장한다. 화려한 플레이팅과 퍼포먼스로 인기가 높다.",프랑스식,3
3998,레스쁘아,RIBBON_THREE,2026,02-517-6034 ,160000.0,260000.0,,,,2008년 05월 12일,서울특별시 강남구 도산대로56길 10  (청담동),서울특별시 강남구 청담동 1-10,2층,서울특별시,강남구,청담동,서울 강남,청담동/강남구청역,37.5224437722644,127.040059175821,"정통 프렌치 레시피를 기반으로 한 임기학 셰프의 요리를 맛볼 수 있는 곳이다. 2025년 9월, 인근으로 이전하여 리뉴얼 오픈하면서 분위기가 한층 업그레이드되었다. 위층에는 무슈꼬숑이 자리하여 샤퀴테리도 함께 즐길 수 있다.",프랑스식,3
28236,본앤브레드,RIBBON_THREE,2026,02-2294-5005,100000.0,380000.0,,,,2018년 03월 20일,서울특별시 성동구 마장로42길 1 (마장동),서울특별시 성동구 마장동 781-15 새림약국,,서울특별시,성동구,마장동,서울 강북,왕십리/마장동/장안동,37.566790715500474,127.04450198300889,"마장동 우시장 부근에 자리한 고급 부티크 정육점. 한우오마카세의 열풍을 일으킨 주역이다. 품질이 보장되는 소고기구이를 맛볼 수 있다. 1층과 2층은 캐주얼 다이닝으로 일반 고깃집처럼 운영되며, 3층에서는 프라이빗한 오마카세를 즐길 수 있다. 지하 1층은 소수 인원의 예약제로만 운영된다.","한식(육류), 한우오마카세, 소고기구이",3
4667,정식당,RIBBON_THREE,2026,02-517-4654 ,200000.0,300000.0,12:00~15:00(마지막 주문 13:15)/17:30~22:00(마지막 주문 19:15) ,"점심코스(20만원), 저녁코스(30만원)",명절 휴무,2009년 01월 14일,서울특별시 강남구 선릉로158길 11 (청담동),서울특별시 강남구 청담동 83-24,,서울특별시,강남구,청담동,서울 강남,청담동/강남구청역,37.52562,127.0411,"스페인을 비롯한 세계 미식 트렌드의 영향을 많이 받아 새로운 장르를 개척한 임정식 셰프의 레스토랑으로, 뉴코리안이라는 콘셉트로 서울을 대표하는 곳 중의 하나다. 김정호 셰프가 헤드셰프를 맡고 있다. 식재료와 조리 기법, 플레이팅 모두 세계적인 수준의 요리를 즐길 수 있다.","한식(일반한식), 모던한식, 뉴코리안",3
343,미피아체,RIBBON_THREE,2026,02-516-6317,60000.0,120000.0,12:00~15:00/18:00~21:30(마지막 주문 19:30),"런치세트(6만원), 디너코스(12만원)",명절 휴무,2003년 08월 20일,서울특별시 강남구 도산대로70길 34  (청담동),서울특별시 강남구 청담동 17-29,,서울특별시,강남구,청담동,서울 강남,청담동/강남구청역,37.5214688685552,127.044872674794,"청담동에서 가장 오래된 레스토랑 중의 하나로, 20년 세월 동안 변함없는 맛을 유지하고 있다. 전채, 메인, 디저트 모두 손색없이 훌륭하며 계절에 따라, 트렌드에 따라 메뉴가 자주 바뀌어 다양한 즐거움을 준다. 미리 주문하면 맛볼 수 있는 피오렌티나 스테이크도 명성이 자자하다. 2023년 8월 지금의 자리로 이전하여 분위기가 더욱 좋아졌다. 테라스 자리를 이용할 것을 추천.","이탈리아식, 파스타",3
472,삼원가든,RIBBON_THREE,2026,02-548-3030,58000.0,150000.0,"11:30~14:30/17:30~21:30  | 토, 일요일 11:00~14:30/17:00~21:00","전통양념갈비(200g 6만2천원), 한우양념(200g 11만원), 생갈비(200g 12만원), 한우특생갈비(200g 15만원), 한우등심생불고기(200g 5만8천원), 한우생등심(130g 8만5천원), 양념게장(7만5천원), 갈비찜(7만원)",연중무휴,1976년 ,서울특별시 강남구 언주로 835 (신사동),서울특별시 강남구 신사동 623-5 삼원가든,,서울특별시,강남구,신사동,서울 강남,압구정동/도산공원,37.52494,127.0326,"50여 년 전통의 우리나라 대표 갈빗집. 대표 메뉴인 양념 갈비와 함께 나오는 반찬도 정갈하며 갈비 외에 등심이나 불고기, 단품 요리도 수준급이다. 예약제로 운영되는 특실에서는 다양한 한정식과, 한우 모둠 구이가 나오는 차별화된 코스로 진행된다. 특실 예약은 02-548-3037로 문의하면 된다.","한식(육류), 소갈비, 소고기구이, 한우오마카세",3
